syracuse,56.61,0.44,25.89,0.36,18.61,0.72,648,132,76,239,60,0
california-santa-barbara,54.17,0.47,18.78,0.33,20.06,0.75,637,88,51,221,0,60
miami-fl,59.41,0.45,21.41,0.36,15.88,0.71,573,101,65,211,62.5,50
arkansas,58.53,0.44,24.41,0.31,20.24,0.74,566,151,79,297,60,33.3
colgate,61,0.45,29.63,0.35,12.05,0.78,675,103,53,225,60,70
harvard,56.25,0.46,21,0.33,19.94,0.73,590,112,88,226,60,60
william-mary,56.6,0.47,22,0.36,16.45,0.74,737,96,70,200,100,61.5
rider,59.24,0.43,19.82,0.32,24.12,0.67,674,108,40,229,60,20
siena,58.31,0.44,19.69,0.34,21.31,0.68,598,92,44,204,58.3,66.7
wake-forest,56.65,0.43,17.71,0.35,24.47,0.74,653,80,50,193,58.3,50
delaware,56.45,0.48,21.5,0.37,15.85,0.75,678,111,66,236,58.3,25
northern-arizona,58.31,0.45,20.69,0.38,16.81,0.69,552,114,35,225,50,66.7
rutgers,58.94,0.46,17.61,0.3,18,0.64,747,126,88,252,57.1,20
washington,54.26,0.45,19.37,0.32,21.89,0.71,684,136,126,263,57.1,40
virginia-military-institute,59.9,0.43,29.85,0.37,14.15,0.73,705,144,51,279,28.6,50
nebraska,62.39,0.42,25.61,0.33,20.17,0.59,644,117,47,256,57.1,71.4
north-carolina-greensboro,63.25,0.43,26.55,0.32,16.1,0.63,738,200,78,385,NAN!,NAN!
central-arkansas,59.47,0.41,24.21,0.32,25.16,0.7,707,97,106,265,66.7,36.4
lafayette,56.12,0.47,25.12,0.37,13.65,0.74,590,78,76,161,57.1,50
bryant,61.78,0.42,29.06,0.33,16.17,0.67,696,146,82,248,57.1,37.5
florida,57.35,0.45,19.94,0.33,21.82,0.72,652,107,68,225,57.1,50
st-francis-ny,61.82,0.43,21.35,0.31,16.88,0.71,618,110,62,246,60,45.5
tulsa,56.44,0.45,18.39,0.32,19.56,0.71,655,142,44,258,57.1,30
rice,58.74,0.42,29.11,0.33,19.79,0.7,694,117,46,238,57.1,50
south-alabama,54.1,0.46,16.8,0.31,21.65,0.75,667,156,81,281,37.5,40
eastern-kentucky,64.16,0.4,26.95,0.31,20.58,0.72,655,176,44,355,71.4,25
mississippi-state,56.24,0.47,16.94,0.33,20.82,0.72,657,109,91,223,54.5,66.7
