,0,1,2,3,4,5,6,7,8,9,10,11
88,ohio-state,23,54.30434782608695,.450,22.695652173913043,.379,19.434782608695652,.727,853,108,87,285
89,nevada,25,60.72,.445,26.08,.387,16.76,.757,950,128,90,270
90,alcorn-state,21,62.904761904761905,.428,24.761904761904763,.381,17.571428571428573,.753,802,174,64,303
91,eastern-illinois,24,60.666666666666664,.459,19.25,.351,19.0,.671,891,184,113,371
92,villanova,23,58.91304347826087,.438,26.695652173913043,.353,16.043478260869566,.778,821,137,67,275
93,tennessee-state,25,56.6,.476,20.72,.355,19.48,.657,955,131,112,320
94,hampton,23,59.869565217391305,.464,17.695652173913043,.327,25.08695652173913,.688,843,126,102,284
95,new-orleans,23,58.04347826086956,.461,16.0,.345,22.08695652173913,.772,724,187,51,383
96,valparaiso,25,60.8,.432,24.88,.322,16.72,.711,854,208,84,388
97,san-diego-state,24,57.208333333333336,.474,22.75,.388,16.875,.753,858,159,73,340
98,baylor,22,59.54545454545455,.431,22.272727272727273,.351,19.045454545454547,.697,836,173,100,327
99,depaul,24,59.875,.445,18.583333333333332,.318,20.833333333333332,.654,915,204,127,396
100,louisville,24,57.125,.466,21.375,.404,19.25,.736,938,124,69,273
101,maryland,23,57.34782608695652,.415,24.26086956521739,.319,22.08695652173913,.742,906,110,110,288
102,bowling-green-state,24,64.08333333333333,.427,23.25,.337,18.166666666666668,.743,956,137,57,292
103,south-dakota,26,56.38461538461539,.494,18.807692307692307,.401,21.73076923076923,.772,847,122,71,310
104,northern-colorado,22,58.5,.450,27.818181818181817,.369,15.909090909090908,.686,774,118,54,260
105,seton-hall,23,58.34782608695652,.446,23.08695652173913,.330,21.043478260869566,.696,869,171,151,339
106,southern-california,24,57.666666666666664,.441,18.25,.352,22.083333333333332,.679,932,156,130,325
107,james-madison,24,60.875,.415,24.208333333333332,.322,23.75,.654,943,154,80,292
108,southern-utah,23,58.869565217391305,.460,18.869565217391305,.334,19.130434782608695,.714,877,175,104,313
109,cal-state-northridge,25,59.76,.450,20.96,.365,18.08,.719,828,145,73,326
110,oklahoma,23,58.608695652173914,.425,22.695652173913043,.324,17.82608695652174,.768,841,142,88,268
111,jacksonville-state,25,59.64,.449,22.32,.339,16.44,.679,914,158,66,360
112,wofford,25,56.6,.464,27.2,.357,15.52,.716,771,150,66,332
113,kentucky,23,55.65217391304348,.463,14.478260869565217,.324,24.304347826086957,.787,867,119,113,277
114,minnesota,23,59.869565217391305,.420,24.52173913043478,.321,16.956521739130434,.723,895,115,110,262
115,syracuse,23,57.52173913043478,.438,25.52173913043478,.348,19.869565217391305,.737,823,170,102,307
116,california-santa-barbara,24,53.625,.470,18.583333333333332,.339,19.875,.769,827,109,57,289
117,miami-fl,23,58.91304347826087,.437,21.304347826086957,.331,17.304347826086957,.749,761,137,81,292
118,arkansas,23,58.43478260869565,.441,22.91304347826087,.315,22.347826086956523,.720,755,201,93,394
119,colgate,25,60.6,.447,28.56,.357,14.08,.756,902,136,74,303
120,harvard,21,57.57142857142857,.460,21.476190476190474,.341,18.476190476190474,.706,781,143,110,289
121,william-mary,26,56.11538461538461,.460,22.0,.343,15.615384615384615,.749,945,114,97,259
122,rider,23,57.869565217391305,.440,19.434782608695652,.336,22.869565217391305,.663,876,157,57,321
123,siena,21,57.42857142857143,.449,19.095238095238095,.352,21.523809523809526,.697,773,123,59,269
124,wake-forest,23,56.95652173913044,.421,19.17391304347826,.333,23.391304347826086,.747,886,116,61,258
