,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
58,eastern-washington,81,Southern-Utah,78,60,.467,27,.370,27,.556,33,4,8,13,88.90,67,.433,14,.357,20,.750,42,8,6,11,0
59,Northern-Colorado,84,eastern-washington,89,73,.397,32,.344,23,.652,42,4,5,8,0,74,.459,17,.412,18,.778,44,4,9,9,88.90
60,eastern-washington,59,Sacramento-State,54,51,.373,17,.412,15,.933,29,6,2,12,50.00,53,.396,15,.200,12,.750,30,7,3,11,1
61,Kansas,66,duke,68,50,.460,9,.444,26,.615,40,11,5,26,1,64,.359,24,.333,23,.609,30,11,3,16,38.50
62,Colorado-State,55,duke,89,55,.327,21,.238,22,.636,32,5,0,17,0,69,.536,22,.182,18,.611,40,12,6,9,87.50
63,duke,105,Central-Arkansas,54,74,.568,18,.500,14,.857,42,14,7,12,87.50,51,.353,15,.200,24,.625,26,4,4,21,0
64,duke,74,Georgia-State,63,73,.342,28,.250,29,.586,54,10,6,15,87.50,60,.417,12,.417,11,.727,29,11,9,16,0
65,duke,87,California,52,65,.415,27,.370,31,.742,48,5,6,9,38.50,52,.365,10,.400,14,.714,26,3,3,13,1
66,Georgetown,73,duke,81,55,.509,16,.375,18,.611,26,9,12,24,1,65,.415,13,.462,29,.724,34,8,4,21,38.50
67,Stephen-F-Austin,85,duke,83,74,.486,10,.200,17,.647,28,13,2,14,0,54,.500,15,.333,40,.600,35,8,14,20,87.50
68,duke,83,Winthrop,70,57,.526,12,.583,22,.727,34,9,4,16,87.50,66,.439,21,.286,13,.462,31,7,2,13,0
69,duke,87,Michigan-State,75,57,.561,15,.467,22,.727,33,10,11,14,38.50,62,.452,16,.250,23,.652,31,7,6,14,1
70,duke,77,Virginia-Tech,63,63,.476,26,.269,10,1.000,32,8,4,7,38.50,56,.482,20,.250,6,.667,31,2,2,14,1
71,Wofford,57,duke,86,62,.355,24,.417,5,.600,21,4,0,7,0,59,.542,20,.400,18,.778,42,4,6,8,87.50
72,duke,75,Brown,50,68,.441,16,.125,16,.813,38,13,9,11,87.50,53,.340,19,.316,18,.444,29,5,2,17,0
73,Boston-College,49,duke,88,62,.339,18,.167,11,.364,27,10,4,19,0,68,.515,28,.429,9,.667,42,9,7,14,87.50
74,duke,95,Miami-(FL),62,67,.597,14,.429,14,.643,38,9,5,14,38.50,58,.397,12,.167,18,.778,19,7,3,15,1
75,duke,73,Georgia-Tech,64,54,.519,12,.500,21,.524,27,8,7,13,38.50,64,.359,16,.313,15,.867,35,8,7,15,1
76,Wake-Forest,59,duke,90,55,.418,13,.308,16,.563,28,6,0,16,0,62,.532,23,.478,25,.520,34,11,8,9,87.50
77,duke,72,Clemson,79,54,.500,20,.400,20,.500,27,10,2,15,38.50,53,.566,19,.421,22,.500,31,9,4,15,1
78,Louisville,79,duke,73,60,.483,14,.500,17,.824,34,13,6,17,0,62,.371,25,.240,29,.724,33,13,6,16,87.50
79,duke,89,Miami-(FL),59,64,.531,25,.440,13,.769,37,5,7,10,87.50,60,.300,18,.222,22,.864,33,7,1,13,0
80,duke,79,Pitt,67,62,.484,26,.346,15,.667,35,3,5,8,87.50,57,.439,12,.333,16,.813,29,4,1,9,0
81,Le-Tourneau,70,stephen-f-austin,89,54,.333,30,.300,32,.781,19,10,3,26,0,71,.479,18,.333,24,.625,51,10,6,25,81.80
82,North-Carolina-Central,64,stephen-f-austin,94,47,.447,18,.389,19,.789,18,10,1,30,0,59,.593,19,.579,17,.765,32,11,3,22,81.80
83,Niagara,80,stephen-f-austin,89,45,.556,18,.444,30,.733,25,6,1,21,0,64,.438,22,.318,33,.788,29,8,2,14,81.80
84,Drexel,67,stephen-f-austin,82,40,.500,14,.357,30,.733,26,6,1,30,0,61,.475,18,.278,25,.760,33,17,5,20,81.80
85,stephen-f-austin,57,Rutgers,69,51,.392,13,.154,24,.625,29,9,2,17,42.90,45,.489,20,.400,28,.607,31,9,7,19,1
86,Duke,83,stephen-f-austin,85,54,.500,15,.333,40,.600,35,8,14,20,1,74,.486,10,.200,17,.647,28,13,2,14,42.90
87,Arkansas-State,57,stephen-f-austin,76,53,.283,17,.235,35,.657,39,5,4,20,1,58,.500,13,.385,22,.591,41,11,1,14,42.90
88,Arlington-Baptist,49,stephen-f-austin,114,49,.327,24,.333,12,.750,16,11,1,35,0,70,.657,12,.250,28,.679,41,23,4,18,81.80
89,Alabama,78,stephen-f-austin,68,47,.447,32,.344,35,.714,30,11,8,20,1,61,.393,13,.308,21,.762,33,12,0,19,42.90
90,Louisiana-Monroe,59,stephen-f-austin,66,41,.439,19,.526,18,.722,25,6,1,17,0,53,.415,29,.276,19,.737,30,5,1,9,81.80
91,Houston-Baptist,68,stephen-f-austin,96,63,.333,20,.450,20,.850,28,7,3,21,0,65,.492,16,.313,35,.771,46,9,9,14,81.80
92,McNeese-State,73,stephen-f-austin,81,49,.449,19,.421,36,.583,27,8,5,16,1,56,.536,14,.429,21,.714,36,4,0,17,42.90
93,stephen-f-austin,94,Paul-Quinn,62,62,.565,20,.200,32,.625,35,14,8,17,81.80,50,.400,14,.429,27,.593,31,10,2,27,0
